ph,EC,label
5.6,0.33,bajra
7.5,0.82,bajra
5.6,0.212,bajra
6.9,0.469,bajra
7.3,0.649,bajra
7.2,0.266,bajra
5.3,0.251,bajra
5.7,0.397,bajra
7.5,0.283,bajra
5.7,0.33,bajra
8,0.82,bajra
5.8,0.212,bajra
6,0.469,bajra
5.2,0.649,bajra
7.4,0.266,bajra
5.2,0.251,bajra
7.4,0.397,bajra
6.6,0.283,bajra
6.5,0.33,bajra
7.6,0.81,bajra
8,0.21,bajra
7.8,0.469,bajra
5.6,0.648,bajra
5.1,0.266,bajra
8,0.255,bajra
7.4,0.397,bajra
7.6,0.283,bajra
5.4,0.52,bajra
6.9,0.82,bajra
5.4,0.21,bajra
6.8,0.469,bajra
7.4,0.649,bajra
6.5,0.261,bajra
7.1,0.251,bajra
6.7,0.397,bajra
6.4,0.283,bajra
7.8,0.33,bajra
6.6,0.82,bajra
5.6,0.212,bajra
7.6,0.469,bajra
6.9,0.649,bajra
7.6,0.266,bajra
5.4,0.251,bajra
5.3,0.397,bajra
7.3,0.283,bajra
5.8,0.33,bajra
5.7,0.82,bajra
5.9,0.212,bajra
6.7,0.469,bajra
5.1,0.649,bajra
6.7,0.266,bajra
6.7,0.251,bajra
6.6,0.397,bajra
5.3,0.283,bajra
5.1,0.33,bajra
6.3,0.82,bajra
5.3,0.212,bajra
7.7,0.469,bajra
6.5,0.649,bajra
7.4,0.266,bajra
7.2,0.251,bajra
6.8,0.397,bajra
7.7,0.283,bajra
7.5,0.33,bajra
7.8,0.82,bajra
7,0.212,bajra
6.1,0.469,bajra
6.4,0.649,bajra
7.1,0.266,bajra
5.2,0.251,bajra
5.4,0.397,bajra
5.2,0.283,bajra
6.5,0.33,bajra
5.1,0.82,bajra
7.9,0.212,bajra
5.5,0.469,bajra
5.9,0.649,bajra
5.2,0.266,bajra
7.9,0.251,bajra
7.8,0.397,bajra
5.9,0.283,bajra
5.4,0.33,bajra
6.4,0.82,bajra
7.6,0.212,bajra
5.1,0.469,bajra
6.8,0.649,bajra
5.9,0.266,bajra
5,0.251,bajra
6.4,0.397,bajra
7.8,0.283,bajra
7.8,0.33,bajra
7.3,0.82,bajra
5.2,0.212,bajra
5.6,0.469,bajra
6,0.649,bajra
7.9,0.266,bajra
7.9,0.251,bajra
7.4,0.397,bajra
6.1,0.283,bajra
6.9,0.21,bajra
6.1,0.7,bajra
6.3,0.82,cabbage
6,0.61,cabbage
6.1,0.51,cabbage
6.4,0.341,cabbage
6.8,0.5,cabbage
6.2,0.32,cabbage
6.4,0.8,cabbage
6.6,0.8,cabbage
6.1,0.7,cabbage
6.6,0.341,cabbage
6.3,0.5,cabbage
6.2,0.32,cabbage
6.9,0.8,cabbage
6.7,0.8,cabbage
6.1,0.7,cabbage
6.7,0.341,cabbage
6.1,0.5,cabbage
6.2,0.32,cabbage
6.9,0.8,cabbage
6.8,0.8,cabbage
6.7,0.7,cabbage
6.2,0.341,cabbage
6.3,0.5,cabbage
6.6,0.32,cabbage
6.9,0.8,cabbage
6.5,0.8,cabbage
6.2,0.7,cabbage
6.7,0.341,cabbage
6.8,0.5,cabbage
6.8,0.32,cabbage
6.4,0.8,cabbage
6.5,0.8,cabbage
6.7,0.7,cabbage
6.6,0.341,cabbage
6.4,0.5,cabbage
6.6,0.32,cabbage
6.1,0.8,cabbage
6.9,0.8,cabbage
6.3,0.7,cabbage
6.3,0.341,cabbage
6,0.5,cabbage
6.5,0.32,cabbage
6.3,0.8,cabbage
7,0.8,cabbage
6.9,0.7,cabbage
6.4,0.341,cabbage
6.8,0.5,cabbage
6.8,0.32,cabbage
6.4,0.8,cabbage
6.8,0.8,cabbage
6.5,0.7,cabbage
7,0.341,cabbage
6.5,0.5,cabbage
7,0.32,cabbage
6.2,0.8,cabbage
6.5,0.8,cabbage
6.9,0.7,cabbage
6,0.341,cabbage
6.1,0.5,cabbage
6.1,0.32,cabbage
7,0.8,cabbage
6.6,0.8,cabbage
6.2,0.7,cabbage
6.1,0.341,cabbage
6.5,0.5,cabbage
6,0.32,cabbage
6.4,0.8,cabbage
6.4,0.8,cabbage
6.2,0.7,cabbage
6.1,0.341,cabbage
6.9,0.5,cabbage
6.9,0.32,cabbage
6.9,0.8,cabbage
6.2,0.8,cabbage
6.3,0.7,cabbage
6.6,0.341,cabbage
6.4,0.5,cabbage
6.9,0.32,cabbage
6.4,0.8,cabbage
6.3,0.8,cabbage
6.6,0.7,cabbage
6.9,0.341,cabbage
6.8,0.5,cabbage
6.7,0.32,cabbage
7,0.8,cabbage
6.7,0.8,cabbage
7,0.7,cabbage
6.3,0.341,cabbage
6.7,0.5,cabbage
6,0.32,cabbage
6.4,0.8,cabbage
6.6,0.8,cabbage
6.9,0.7,cabbage
6.1,0.341,cabbage
6.1,0.5,cabbage
6.2,0.32,cabbage
6.1,0.8,cabbage
6.5,0.8,cabbage
6.6,0.7,cabbage
6.1,0.6,cabbage
6.3,0.8,cabbage
8.02,0.341,cauliflower
7.56,0.5,cauliflower
6.8,0.32,cauliflower
6.9,0.8,cauliflower
6.8,0.8,cauliflower
6.9,0.7,cauliflower
8.12,0.2,cotton
6.431689506,0.21,cotton
7.453106264,0.28,cotton
7.368258226,0.25,cotton
7.352401887,0.25,cotton
6.652143699,0.27,cotton
6.144631795,0.28,cotton
7.318802162,0.24,cotton
7.954629324,0.2,cotton
6.207652157,0.22,cotton
6.631005298,0.24,cotton
7.306918817,0.25,cotton
5.898293044,0.25,cotton
7.238566893,0.28,cotton
7.977651226,0.2,cotton
5.983075895,0.23,cotton
6.785723961,0.2,cotton
7.393441155,0.21,cotton
6.486068274,0.28,cotton
7.175934962,0.25,cotton
7.388265888,0.25,cotton
6.10539819,0.27,cotton
6.419536555,0.28,cotton
6.307585854,0.24,cotton
6.93221485,0.2,cotton
7.810865753,0.22,cotton
6.527541661,0.24,cotton
7.569454601,0.25,cotton
7.041065585,0.25,cotton
7.208795456,0.28,cotton
6.814341946,0.2,cotton
7.442217061,0.23,cotton
6.854558957,0.22,cotton
7.884550475,0.24,cotton
6.006085786,0.25,cotton
7.432043735,0.25,cotton
6.498052108,0.28,cotton
6.205263534,0.2,cotton
6.360812227,0.23,cotton
7.046607434,0.2,cotton
7.947011366,0.21,cotton
6.281913858,0.28,cotton
6.114525877,0.25,cotton
6.753978061,0.25,cotton
7.425041316,0.25,cotton
6.745104394,0.25,cotton
7.641116569,0.28,cotton
6.470135478,0.2,cotton
7.091992365,0.23,cotton
6.520403794,0.2,cotton
6.127939628,0.21,cotton
7.994679507,0.28,cotton
7.524707577,0.25,cotton
7.827877818,0.25,cotton
6.436691764,0.2,cotton
