state_code,state,district_code,district,primary_irrigation_method,primary_water_source,other_common_methods_or_sources,data_status,granularity,source_id,source_year,source_url,note
32,Kerala,554,Alappuzha,Well irrigation,Groundwater,"Wells, streams",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
9,Uttar Pradesh,121,Ambedkar Nagar,Tube well,Groundwater,"Canal, tube well",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
3,Punjab,27,Amritsar,Canal/Tube well,Mixed,"Canal, tube well",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
24,Gujarat,672,Arvalli,Tube well,Groundwater,"Canal, tube well",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
10,Bihar,611,Arwal,Tube well,Groundwater,"Canal, tube well",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
10,Bihar,189,Aurangabad,Tube well,Groundwater,"Canal, tube well",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
9,Uttar Pradesh,125,Bahraich,Tube well,Groundwater,"Canal, tube well",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
22,Chhattisgarh,646,Balod,Canal/Surface irrigation,Surface water,"Canal, tank, groundwater",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
9,Uttar Pradesh,127,Balrampur,Tube well,Groundwater,"Canal, tube well",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
22,Chhattisgarh,649,Balrampur-Ramanujganj,Canal/Surface irrigation,Surface water,"Canal, tank, groundwater",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
1,Jammu And Kashmir,623,Bandipora,Mixed/Unknown,Unknown,Not specified,PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
27,Maharashtra,470,Beed,Borewell/Tube well,Groundwater,"Canal, tank",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
22,Chhattisgarh,650,Bemetara,Canal/Surface irrigation,Surface water,"Canal, tank, groundwater",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
29,Karnataka,525,Bengaluru Urban,Borewell/Tube well,Groundwater,"Canal, tank",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
9,Uttar Pradesh,179,Bhadohi,Tube well,Groundwater,"Canal, tube well",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
27,Maharashtra,471,Bhandara,Borewell/Tube well,Groundwater,"Canal, tank",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
23,Madhya Pradesh,395,Bhind,Tube well,Groundwater,"Canal, tube well",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
22,Chhattisgarh,636,Bijapur,Canal/Surface irrigation,Surface water,"Canal, tank, groundwater",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
24,Gujarat,676,Botad,Tube well,Groundwater,"Canal, tube well",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
5,Uttarakhand,47,Chamoli,Surface irrigation,Surface water,"Canal, spring, stream",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
9,Uttar Pradesh,135,Chandauli,Tube well,Groundwater,"Canal, tube well",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
14,Manipur,253,Chandel,Surface irrigation,Surface water,"Streams, ponds",PROVISIONAL_STATE_PROFILE,DISTRICT_ROW_WITH_STATE_PROFILE,MARUDAM_IRRIGATION_PROFILE_V1,2026,https://data.gov.in/catalog/7th-minor-irrigation-census-village-schedule-ground-water-schemes-surface-water-schemes,Provisional state irrigation profile expanded to district for prototype use; not an official district-level observation.
