state_code,state,district_code,district,major_language,mother_tongue,source_id,source_year,source_url,data_granularity,data_status
32,Kerala,554,Alappuzha,MALAYALAM,Malayalam,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
9,Uttar Pradesh,121,Ambedkar Nagar,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
3,Punjab,27,Amritsar,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
24,Gujarat,672,Arvalli,GUJARATI,Gujarati,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
10,Bihar,611,Arwal,HINDI,Hindi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
10,Bihar,189,Aurangabad,HINDI,Hindi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
9,Uttar Pradesh,125,Bahraich,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
22,Chhattisgarh,646,Balod,HINDI,Chhattisgarhi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
9,Uttar Pradesh,127,Balrampur,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
22,Chhattisgarh,649,Balrampur-Ramanujganj,HINDI,Chhattisgarhi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
1,Jammu And Kashmir,623,Bandipora,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
27,Maharashtra,470,Beed,MARATHI,Marathi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
22,Chhattisgarh,650,Bemetara,HINDI,Chhattisgarhi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
29,Karnataka,525,Bengaluru Urban,KANNADA,Kannada,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
9,Uttar Pradesh,179,Bhadohi,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
27,Maharashtra,471,Bhandara,MARATHI,Marathi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
23,Madhya Pradesh,395,Bhind,HINDI,Hindi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
22,Chhattisgarh,636,Bijapur,HINDI,Chhattisgarhi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
24,Gujarat,676,Botad,GUJARATI,Gujarati,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
5,Uttarakhand,47,Chamoli,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
9,Uttar Pradesh,135,Chandauli,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
14,Manipur,253,Chandel,MANIPURI,Manipuri,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
27,Maharashtra,473,Chandrapur,MARATHI,Marathi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
23,Madhya Pradesh,398,Chhatarpur,HINDI,Hindi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
24,Gujarat,668,Chhotaudepur,GUJARATI,Gujarati,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
24,Gujarat,445,Dahod,GUJARATI,Gujarati,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
19,West Bengal,310,Dakshin Dinajpur,BENGALI,Bengali,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
23,Madhya Pradesh,400,Damoh,HINDI,Hindi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
24,Gujarat,444,Dangs,GUJARATI,Gujarati,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
19,West Bengal,309,Darjeeling,BENGALI,Bengali,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
29,Karnataka,535,Davangere,KANNADA,Kannada,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
16,Tripura,269,Dhalai,BENGALI,Bengali,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
21,Odisha,352,Dhenkanal,ODIA,Odia,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
23,Madhya Pradesh,404,Dindori,HINDI,Hindi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
8,Rajasthan,769,Dudu,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
17,Meghalaya,657,East Jaintia Hills,KHASI,Khasi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
28,Andhra Pradesh,748,Eluru,TELUGU,Telugu,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
33,Tamil Nadu,573,Erode,TAMIL,Tamil,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
3,Punjab,651,Fazilka,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
3,Punjab,31,Ferozepur,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
24,Gujarat,446,Gandhinagar,GUJARATI,Gujarati,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
20,Jharkhand,328,Garhwa,HINDI,Khortha/Khotta,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
22,Chhattisgarh,645,Gariyaband,HINDI,Chhattisgarhi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
10,Bihar,196,Gaya,HINDI,Hindi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
16,Tripura,654,Gomati,BENGALI,Bengali,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
20,Jharkhand,331,Gumla,HINDI,Khortha/Khotta,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
2,Himachal Pradesh,17,Hamirpur,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
36,Telangana,686,Hanumakonda,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
23,Madhya Pradesh,408,Harda,HINDI,Hindi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
5,Uttarakhand,50,Haridwar,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
29,Karnataka,539,Hassan,KANNADA,Kannada,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
21,Odisha,355,Jagatsinghapur,ODIA,Odia,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
8,Rajasthan,102,Jaipur,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
8,Rajasthan,104,Jalore,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
19,West Bengal,314,Jalpaiguri,BENGALI,Bengali,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
36,Telangana,687,Jayashankar Bhupalapally,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
8,Rajasthan,105,Jhalawar,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
9,Uttar Pradesh,153,Jhansi,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
21,Odisha,357,Jharsuguda,ODIA,Odia,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
22,Chhattisgarh,382,Kabeerdham,HINDI,Chhattisgarhi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
19,West Bengal,702,Kalimpong,BENGALI,Bengali,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
9,Uttar Pradesh,156,Kanpur Dehat,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
8,Rajasthan,108,Karauli,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
36,Telangana,508,Karimnagar,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
10,Bihar,201,Katihar,HINDI,Hindi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
21,Odisha,360,Kendrapara,ODIA,Odia,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
23,Madhya Pradesh,414,Khargone (West Nimar),HINDI,Hindi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
24,Gujarat,450,Kheda,GUJARATI,Gujarati,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
9,Uttar Pradesh,159,Kheri,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
16,Tripura,652,Khowai,BENGALI,Bengali,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
20,Jharkhand,606,Khunti,HINDI,Khortha/Khotta,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
1,Jammu And Kashmir,620,Kishtwar,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
15,Mizoram,263,Kolasib,LUSHAI/MIZO,Lushai/Mizo,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
19,West Bengal,315,Kolkata,BENGALI,Bengali,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
32,Kerala,559,Kollam,MALAYALAM,Malayalam,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
8,Rajasthan,109,Kota,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
9,Uttar Pradesh,160,Kushinagar,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
31,Lakshadweep,553,Lakshadweep District,MALAYALAM,Malayalam,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
9,Uttar Pradesh,161,Lalitpur,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
20,Jharkhand,335,Latehar,HINDI,Khortha/Khotta,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
12,Arunachal Pradesh,234,Lohit,NISSI/DAFLA,Nissi/Dafla,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
13,Nagaland,615,Longleng,KONYAK,Konyak,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
10,Bihar,206,Madhubani,HINDI,Hindi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
33,Tamil Nadu,578,Madurai,TAMIL,Tamil,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
6,Haryana,69,Mahendragarh,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
24,Gujarat,669,Mahisagar,GUJARATI,Gujarati,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
23,Madhya Pradesh,784,Maihar,HINDI,Hindi,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
9,Uttar Pradesh,166,Mainpuri,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
18,Assam,706,Majuli,ASSAMESE,Assamese,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
32,Kerala,562,Malappuram,MALAYALAM,Malayalam,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
19,West Bengal,316,Malda,BENGALI,Bengali,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
21,Odisha,364,Malkangiri,ODIA,Odia,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
36,Telangana,684,Mancherial,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
9,Uttar Pradesh,168,Mau,UNKNOWN,UNKNOWN,C16,2011,https://censusindia.gov.in/nada/index.php/catalog/10191,STATE_FALLBACK,NOT_DISTRICT_OBSERVATION
