state,district,rainfall_recharge_monsoon_ham,other_recharge_monsoon_ham,rainfall_recharge_nonmonsoon_ham,other_recharge_nonmonsoon_ham,annual_groundwater_recharge_ham,natural_discharges_ham,annual_extractable_groundwater_resource_ham,gw_extraction_irrigation_ham,gw_extraction_industrial_ham,gw_extraction_domestic_ham,current_annual_groundwater_extraction_ham,annual_gw_allocation_domestic_2035_ham,net_groundwater_availability_future_use_ham,stage_groundwater_extraction_pct,derived_stage_class,source_id,source_year,source_url,data_status
Andhra Pradesh,Alluri Sitharama Raju,44343.14,4295.79,1850.65,2266.03,52755.61,2638.05,50117.56,566.49,0.0,1579.66,2146.48,2173.35,47784.38,4.28,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Anakapalli,20898.07,32462.58,14295.05,5241.75,72897.45,3645.22,69252.24,16276.54,489.46,4957.88,21723.97,8163.16,45060.58,31.37,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Ananthapuramu,41668.06,44121.6,641.38,39688.98,126120.02,6306.09,119813.93,37624.87,727.29,3466.8,41819.1,3466.8,78907.83,34.9,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Annamayya,44650.83,18221.52,2879.64,23640.84,89392.83,4469.87,84922.96,29286.36,137.75,3825.77,33249.92,4539.7,51486.28,39.15,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Bapatla,20572.41,37391.34,2035.21,12659.44,72658.4,3632.97,69025.43,15511.65,63.94,2182.63,17758.14,2590.29,51238.99,25.73,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Chittoor,52452.86,14110.99,1199.53,15263.08,83026.46,4151.47,78874.99,37804.69,1413.43,4286.8,43504.74,6210.52,35646.03,55.16,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,East Godavari,20239.89,44557.07,8058.94,40027.43,112883.33,5644.3,107239.03,32622.11,1312.65,2315.89,36250.71,2811.46,71814.87,33.8,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Eluru,54185.73,52239.65,3289.82,34406.88,144122.08,7206.27,136915.82,37009.12,501.84,10194.6,47705.36,11872.9,89548.96,34.84,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Guntur,14236.26,24345.59,462.3,14404.81,53448.96,2672.46,50776.5,7888.88,230.09,2583.24,10702.21,3064.74,39592.76,21.08,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Kakinada,15605.64,61555.01,3300.94,34028.87,114490.46,5724.57,108765.89,14492.25,2017.56,1902.54,18412.4,2249.78,90092.9,16.93,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Konaseema,11935.79,47351.81,7520.76,40852.19,107660.55,5383.22,102277.33,9392.75,50.2,1310.23,10753.36,1556.89,91277.44,10.51,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Krishna,18078.58,93489.2,10846.76,36665.7,159080.24,7954.12,151126.1,45310.33,1034.54,2032.94,48377.76,2837.97,101943.32,32.01,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Kurnool,38168.93,16696.55,566.17,12641.08,68072.73,3403.93,64668.8,14074.64,71.27,5587.15,19733.2,6349.1,44552.76,30.51,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,NTR,20819.89,28788.71,1217.53,22478.56,73304.69,3665.25,69639.44,21105.21,1218.36,2439.78,24763.28,2556.72,44937.13,35.56,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Nandyal,22728.49,51091.24,66.02,32491.11,106376.86,5319.06,101057.8,12158.56,128.4,505.41,12791.73,505.86,88266.07,12.66,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Palnadu,21970.36,60639.88,5160.9,24733.57,112504.71,5625.41,106879.3,35692.63,65.99,4341.21,40099.82,4829.7,70415.53,37.52,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Parvathipuram Manyam,29420.72,37058.94,3586.72,23837.01,93903.39,4695.22,89208.17,20727.91,12.96,1766.85,22507.56,2376.68,67917.17,25.23,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Prakasam,63001.01,19902.6,1065.94,13852.06,97821.61,4891.29,92930.32,41405.55,510.09,4758.01,46674.06,5435.87,54724.49,50.22,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Sri Sathya Sai,43121.16,34674.44,595.26,46968.01,125358.87,6268.15,119090.71,59350.52,136.85,8913.9,68401.25,12703.34,56553.72,57.44,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Srikakulam,34952.73,41838.49,2623.08,21400.44,100814.74,5041.18,95773.56,27603.75,369.91,6920.91,34894.44,9217.02,64615.42,36.43,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Tirupati,82292.58,25562.66,0.0,53096.45,160951.69,8047.8,152903.89,50351.93,1515.39,3816.6,55683.98,10307.09,97277.57,36.42,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Visakhapatnam,7026.72,4557.44,320.01,1167.99,13072.16,653.56,12418.6,2893.17,58.44,2494.14,5445.76,4154.71,6032.5,43.85,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Vizianagaram,24595.61,67534.54,2538.33,48854.2,143522.68,7176.34,136346.27,35190.03,115.16,1873.76,37178.99,1873.76,101465.78,27.27,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,West Godavari,9954.88,19958.27,1538.13,20383.08,51834.36,2591.81,49242.55,3769.75,73.64,1037.63,4880.98,1194.77,44204.42,9.91,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Andhra Pradesh,Y.S.R Kadapa,54366.85,23580.29,549.87,29153.5,107650.51,5382.61,102267.89,30227.56,427.77,8135.29,38790.75,8135.33,64472.82,37.93,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Arunachal Pradesh,Changlang,13611.21,4549.92,6130.95,5815.44,30107.52,3010.77,27096.75,64.8,0.0,182.82,247.62,225.59,26806.36,0.91,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Arunachal Pradesh,East Kameng,8166.61,2631.98,2978.05,3789.31,17565.95,1756.59,15809.36,94.1,0.0,14.72,108.82,23.5,15691.77,0.69,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Arunachal Pradesh,East Siang,56387.44,4366.95,13909.24,5602.81,80266.44,8281.44,71985.0,110.42,4.2,64.4,179.02,75.08,71795.3,0.25,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Arunachal Pradesh,Lohit,63627.52,7648.62,41909.12,9764.9,122950.16,13573.19,109376.97,34.36,8.4,230.97,273.72,279.47,109054.75,0.25,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Arunachal Pradesh,Lower Dibang Valley,49793.89,901.62,27521.74,1408.24,79625.49,7962.55,71662.94,216.5,0.0,31.62,248.13,34.28,71412.15,0.35,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Arunachal Pradesh,Lower Subansiri,1554.36,1095.09,1088.68,1503.31,5241.44,755.9,4485.54,16.83,0.0,22.95,39.79,43.11,4425.59,0.89,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Arunachal Pradesh,Papum Pare,7055.8,1432.16,1962.6,1856.88,12307.44,2714.21,9593.23,15.36,25.29,108.03,148.68,190.73,9361.85,1.55,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Arunachal Pradesh,Tirap,5002.17,968.18,1393.89,1304.73,8668.97,866.9,7802.07,6.25,0.0,49.29,55.54,56.2,7739.62,0.71,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Arunachal Pradesh,Upper Subansiri,138.53,1048.82,75.26,1437.17,2699.78,269.97,2429.81,16.64,0.9,3.73,21.28,7.2,2405.06,0.88,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Arunachal Pradesh,West Kameng,2202.71,381.06,393.32,375.17,3352.26,335.22,3017.04,1.64,0.0,11.53,13.15,13.29,3002.13,0.44,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Arunachal Pradesh,West Siang,4373.96,646.55,949.41,229.68,6199.6,619.96,5579.64,4.46,1.18,2.37,8.01,2.59,5571.4,0.14,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,BAKSA,98253.84,7058.84,27266.79,7390.16,139969.63,15410.14,124559.49,2464.02,3.16305,2014.11224,4481.3,2272.88,119819.42,3.6,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,BARPETA,56610.66,8378.99,22901.18,6713.65,94604.48,10464.65,84139.83,31337.28,18.516708,4057.50385,35413.31,5215.49,47568.52,42.09,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,BONGAIGAON,33285.82,3537.39,12847.54,4790.09,54460.84,9670.7,44790.14,14360.544,6.7986,1702.76715,16070.11,2165.52,28257.28,35.88,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,CACHAR,62710.25,2052.14,23182.18,2924.92,90869.49,48399.92,42469.57,0.0,0.0,1435.9666,1435.96,1817.0,40652.58,3.38,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,CHIRANG,66641.6,517.5,25347.61,264.07,92770.78,11048.62,81722.16,1464.48,5.58448,955.548952,2425.61,1085.85,79166.25,2.97,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,DARRANG,33199.8,4739.56,14212.77,2045.21,54197.34,4812.65,49384.69,22453.2,60.148975,2149.59713,24662.95,2790.0,24081.34,49.94,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,DHEMAJI,96472.87,601.52,38007.0,700.8,135782.19,45796.73,89985.46,2780.568,7.071075,1534.05829,4321.69,1935.75,85262.07,4.8,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,DHUBRI,69241.9,5758.95,18117.49,6567.52,99685.86,10126.15,89559.71,22757.76,28.2987,4751.29052,27537.37,6348.38,60425.27,30.75,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,DIBRUGARH,97455.4,1674.3,37792.02,667.61,137589.33,25170.01,112419.32,2172.744,84.3398284,2717.73056,4974.8,3109.33,107052.91,4.43,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,DIMA HASAO,43723.76,30.55,19071.65,4.77,62830.73,6283.09,56547.64,43.2,1.188,239.150512,283.52,279.9,56223.37,0.5,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,GOALPARA,48740.14,3028.52,19326.0,3977.27,75071.93,21877.33,53194.6,14837.85,43.68142,2495.92359,17377.44,3258.24,35054.84,32.67,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,GOLAGHAT,75450.72,1275.28,29903.35,907.34,107536.69,8353.53,99183.16,3587.22,121.914458,2016.66958,5725.81,2329.91,93144.12,5.77,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,HAILAKANDI,17140.32,952.52,9513.41,244.38,27850.63,9290.29,18560.34,0.81,0.0,545.211106,546.03,700.99,17858.54,2.94,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,JORHAT,80538.69,11037.86,32140.71,10571.18,134288.44,70984.28,63304.16,8834.022,28.277698,1399.579,10261.89,1553.67,52888.18,16.21,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,KAMRUP,59168.75,4980.31,22462.15,7511.25,94122.46,20410.87,73711.59,11056.392,306.590018,3595.58969,14958.56,4388.66,57959.95,20.29,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,KAMRUP (M),12536.75,1038.11,7023.53,572.8,21171.19,5703.52,15467.67,1429.758,179.112234,3621.65123,5230.51,3700.92,10157.89,33.82,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,KARBI ANGLONG,114683.66,550.34,26988.64,245.34,142467.98,25611.67,116856.31,578.34,39.3998,1974.93367,2592.68,2418.9,113819.67,2.22,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,KARIMGANJ,40446.37,1199.51,19365.36,333.69,61344.93,29084.41,32260.52,60.588,4.193,1348.53886,1413.34,1743.81,30451.91,4.38,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,KOKRAJHAR,118970.96,2221.02,42129.04,2637.23,165958.25,21478.89,144479.36,7729.884,5.4,1738.68894,9474.01,1844.12,134899.91,6.56,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,LAKHIMPUR,84690.31,1595.12,30085.16,1651.05,118021.64,47239.73,70781.91,5328.666,11.57484,2468.0954,7808.34,3009.55,62432.11,11.03,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,MORIGAON,33467.65,1727.47,8474.76,1984.92,45654.8,11249.31,34405.49,5565.888,14.993178,2362.004,7942.9,3111.33,25713.27,23.09,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,NAGAON,94448.08,18316.93,21452.74,20575.24,154792.99,41201.99,113591.0,38379.528,102.950341,1836.00664,40318.45,2377.22,72731.34,35.49,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,NALBARI,21297.95,4979.91,8849.97,2508.32,37636.15,3763.62,33872.53,11058.768,36.9035,402.415676,11498.11,460.78,22316.05,33.95,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,SIBSAGAR,69299.22,1022.86,32055.39,573.77,102951.24,15623.87,87327.37,3797.55,73.5356312,1774.23127,5645.31,1972.48,81483.82,6.46,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,SONITPUR,127592.45,3288.95,42220.16,2895.61,175997.17,40820.95,135176.22,10060.47,104.118795,4063.05201,14227.64,4854.25,120157.4,10.53,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,TINSUKIA,94831.86,2855.47,40135.93,2439.56,140262.82,26215.38,114047.44,8631.144,68.6827086,2096.6631,10796.49,2502.52,102845.1,9.47,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Assam,UDALGURI,43721.7,1340.62,22147.2,1042.06,68251.58,21453.04,46798.54,4112.64,62.6773653,1541.75208,5717.07,1717.35,40905.88,12.22,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Araria,71932.4,44175.37,7485.44,30937.46,154530.67,13348.96,141181.71,19443.18,117.23,10664.26,30224.68,15387.74,106233.56,21.41,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Arwal,10224.99,6901.32,0.0,4003.63,21129.94,2054.75,19075.19,7291.44,133.45,2580.26,10005.15,3208.5,8441.79,52.45,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Aurangabad,47847.59,50911.73,1116.5,31256.29,131132.11,12378.4,118753.71,28724.87,2682.7,9451.5,40859.05,12905.42,74440.73,34.41,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Banka,45413.26,16713.55,915.09,9356.9,72398.8,6935.95,65462.86,20652.28,104.97,7304.53,28061.78,10023.81,34994.37,42.87,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Begusarai,44245.15,3602.88,2724.84,5708.69,56281.56,5628.2,50653.36,24192.8,78.43,10004.03,34275.28,13713.84,12668.25,67.67,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Bhagalpur,57480.25,9784.8,6287.29,6236.36,79788.7,7676.06,72112.64,25260.77,1221.09,7281.73,33763.57,9845.7,35785.11,46.82,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Bhojpur,47387.96,25365.25,1103.52,15578.64,89435.37,8943.53,80491.84,30527.74,741.84,8961.86,40231.42,11544.45,37677.84,49.98,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Buxar,29543.39,21243.88,626.77,13238.27,64652.31,6285.08,58367.22,21752.08,504.16,5412.24,27668.49,6971.91,29366.65,47.4,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Darbhanga,55812.08,9827.52,4990.37,7479.8,78109.77,7687.59,70422.18,27035.96,809.47,13174.61,41020.09,16505.8,26070.92,58.25,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,East Champaran,88404.57,60735.46,5352.08,39244.58,193736.69,17073.51,176663.17,54100.79,7332.62,18961.41,80394.84,27711.45,87998.3,45.51,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Gaya,90402.62,26656.97,2497.4,15123.76,134680.75,13075.99,121604.75,49963.75,2049.7,15590.34,67603.76,21371.74,50011.48,55.59,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Gopalganj,45215.13,35410.11,1553.12,23524.12,105702.48,10019.83,95682.65,45603.79,523.31,8663.31,54790.42,10799.63,38755.91,57.26,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Jamui,33040.92,9606.93,1686.34,5538.57,49872.76,4860.39,45012.36,12272.73,15.05,6483.49,18771.27,8817.98,27211.49,41.7,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Jehanabad,17438.43,9283.46,462.46,7412.76,34597.11,3449.52,31147.61,21888.67,5.24,3653.87,25547.76,4706.84,5609.31,82.02,SEMI_CRITICAL,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Kaimur,47075.2,21698.34,900.77,12150.85,81825.16,7171.54,74653.62,26802.52,62.33,5837.19,32702.04,7970.3,39976.13,43.81,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Katihar,79406.67,18931.44,7209.24,14155.36,119702.71,10280.46,109422.24,36093.87,160.18,10577.24,46831.3,14868.9,59289.99,42.8,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Khagaria,38833.55,2179.92,1883.05,5089.1,47985.62,3827.39,44158.22,21693.27,18.14,6064.37,27775.78,8732.8,13714.01,62.9,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Kishanganj,56816.06,2899.66,5300.16,2980.95,67996.83,5332.03,62664.8,15636.77,304.47,6113.96,22055.2,8839.84,37883.71,35.2,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Lakhisarai,21696.19,12391.13,1279.31,7703.7,43070.33,4307.06,38763.27,8876.76,88.02,3497.08,12461.87,4688.41,25110.06,32.15,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Madhepura,38749.54,40968.17,3931.72,25002.4,108651.83,10613.39,98038.44,29130.39,148.68,7573.09,36852.18,11053.44,57705.9,37.59,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Madhubani,79206.25,32848.29,8011.77,23503.72,143570.03,12833.23,130736.8,35316.63,8889.3,15958.29,60164.21,21619.26,65670.82,46.02,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Munger,25594.75,10246.21,1545.83,4517.98,41904.77,4071.2,37833.57,8693.68,764.26,4533.89,13991.86,5737.7,22637.9,36.98,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Muzaffarpur,74152.77,25443.18,4231.91,19634.63,123462.49,12300.04,111162.45,54619.36,1417.47,16434.21,72471.01,24014.37,34545.39,65.19,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Nalanda,45409.55,11774.84,1283.24,10302.57,68770.2,6493.84,62276.36,35639.17,2040.81,9446.53,47126.48,12122.42,12894.89,75.67,SEMI_CRITICAL,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Nawada,46850.21,14688.2,2056.28,9499.39,73094.08,7132.67,65961.42,26674.39,85.27,6086.83,32846.45,7941.82,31604.47,49.8,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Patna,74343.98,18646.84,1990.62,13734.78,108716.22,10767.81,98029.81,41223.39,1462.64,17061.84,59747.83,22579.25,34932.58,60.95,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Purnea,76569.07,49755.59,8812.19,34467.72,169604.57,15682.32,153922.23,45731.37,1051.93,11311.61,58094.92,15901.26,91237.66,37.74,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Rohtas,67320.5,38557.2,1554.07,18650.49,126082.26,11411.0,114671.24,24774.19,252.22,9635.54,34661.96,12271.18,77373.63,30.23,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
Bihar,Saharsa,41890.92,13166.27,4221.66,9472.44,68751.29,5402.7,63348.59,17147.04,67.32,6358.86,23573.2,8671.24,37463.0,37.21,SAFE,CGWB2025,2025,https://cgwb.gov.in/cgwbpnm/publication-detail/1741,OFFICIAL_DISTRICT_AGGREGATE
