state_code,state,district_code,district,state_census2011_code,district_census2011_code,source_id,source_year,source_url
32,Kerala,554,Alappuzha,32,598,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,121,Ambedkar Nagar,09,178,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
3,Punjab,27,Amritsar,03,049,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
24,Gujarat,672,Arvalli,24,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
10,Bihar,611,Arwal,10,240,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
10,Bihar,189,Aurangabad,10,235,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,125,Bahraich,09,180,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
22,Chhattisgarh,646,Balod,22,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,127,Balrampur,09,182,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
22,Chhattisgarh,649,Balrampur-Ramanujganj,22,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
1,Jammu And Kashmir,623,Bandipora,01,009,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
27,Maharashtra,470,Beed,27,523,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
22,Chhattisgarh,650,Bemetara,22,000,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
29,Karnataka,525,Bengaluru Urban,29,572,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
9,Uttar Pradesh,179,Bhadohi,09,198,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
27,Maharashtra,471,Bhandara,27,506,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
23,Madhya Pradesh,395,Bhind,23,420,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
22,Chhattisgarh,636,Bijapur,22,417,LGD,2026,https://data.gov.in/resource/local-government-directory-lgd-districts
